X,Y,id,tag,map,fid,elev,type,bbox
3084229.20500002,1416323.07499998,ContourElevations.185,185,g40lc,185,846,contour,"[ 3083981.380000, 1416000.000000, 3084957.960000, 1416650.590000 ]"
3081140.50882424,1418989.04000016,ContourElevations.186,186,g40lc,186,844,contour,"[ 3079986.367500, 1416000.000000, 3082791.130000, 1421988.800000 ]"
3084232.31500001,1416260.47499997,ContourElevations.187,187,g40lc,187,840,index,"[ 3083562.010000, 1416000.000000, 3084362.350000, 1416520.309200 ]"
3085211.52,1416390.90999974,ContourElevations.188,188,g40lc,188,840,index,"[ 3084136.980000, 1416000.000000, 3085229.730000, 1416806.900000 ]"
3079131.305,1416276.665,ContourElevations.189,189,g40lc,189,844,contour,"[ 3078589.330000, 1416000.000000, 3079266.513300, 1416556.974700 ]"
3084132.265,1416342.445,ContourElevations.190,190,g40lc,190,844,contour,"[ 3083922.470000, 1416000.000000, 3085041.710000, 1416686.270000 ]"
3084237.80500001,1416272.4,ContourElevations.191,191,g40lc,191,842,contour,"[ 3083866.110000, 1416000.000000, 3084368.830000, 1416541.498200 ]"
3085149.96500002,1416375.93499994,ContourElevations.192,192,g40lc,192,842,contour,"[ 3084178.680000, 1416000.000000, 3085161.920000, 1416739.620000 ]"
3082812.35,1417838.92,ContourElevations.193,193,g40lc,193,842,contour,"[ 3081451.510000, 1416000.000000, 3082851.480000, 1419662.300000 ]"
3079417.08141221,1418249.28,ContourElevations.194,194,g40lc,194,842,contour,"[ 3078000.000000, 1416000.000000, 3080372.650000, 1420506.190000 ]"
3079407.54672547,1418233.555,ContourElevations.195,195,g40lc,195,840,index,"[ 3078000.000000, 1416000.000000, 3080354.020000, 1420482.380000 ]"
3082910.405,1417808.27,ContourElevations.196,196,g40lc,196,840,index,"[ 3081654.420000, 1416000.000000, 3082931.920000, 1419624.522300 ]"
3082964.11,1416299.035,ContourElevations.197,197,g40lc,197,842,contour,"[ 3082890.380000, 1416000.000000, 3083413.560000, 1416595.000000 ]"
3084112.02,1416406.09,ContourElevations.198,198,g40lc,198,838,contour,"[ 3083547.400000, 1416000.000000, 3084623.583500, 1416827.840000 ]"
3085329.51,1416496.95,ContourElevations.199,199,g40lc,199,838,contour,"[ 3084637.562800, 1416000.000000, 3085341.720000, 1416973.520000 ]"
3083381.62781711,1416340.28,ContourElevations.200,200,g40lc,200,840,index,"[ 3082843.920000, 1416000.000000, 3083425.040000, 1416680.080000 ]"
3079393.70038462,1418225.41,ContourElevations.201,201,g40lc,201,838,contour,"[ 3078242.480000, 1416000.000000, 3080345.550000, 1420463.270000 ]"
3083746.8176031,1416298.5199998,ContourElevations.202,202,g40lc,202,836,contour,"[ 3083541.160000, 1416000.000000, 3084140.210000, 1416592.493900 ]"
3085435.78,1416564.755,ContourElevations.203,203,g40lc,203,836,contour,"[ 3084826.710200, 1416000.000000, 3085442.390000, 1417111.300000 ]"
3083414.75574446,1416404.18500003,ContourElevations.204,204,g40lc,204,836,contour,"[ 3082729.270000, 1416000.000000, 3083469.930000, 1416801.700000 ]"
3081660.495,1419138.67499997,ContourElevations.205,205,g40lc,205,838,contour,"[ 3078956.350000, 1416000.000000, 3082986.520000, 1422249.137900 ]"
3079021.76089812,1416254.6449999,ContourElevations.206,206,g40lc,206,836,contour,"[ 3078451.050000, 1416000.000000, 3079136.300000, 1416509.870600 ]"
3082979.44700321,1417762.82500034,ContourElevations.207,207,g40lc,207,836,contour,"[ 3081664.370000, 1416000.000000, 3083036.430000, 1419504.923400 ]"
3082878.24334633,1416364.89499999,ContourElevations.208,208,g40lc,208,838,contour,"[ 3082803.230000, 1416000.000000, 3083437.680000, 1416730.750000 ]"
3086468.53961698,1417055.92499992,ContourElevations.209,209,g40lc,209,828,contour,"[ 3085517.300000, 1416000.000000, 3086604.230000, 1418110.750000 ]"
3078445.51,1416140.81,ContourElevations.210,210,g40lc,210,834,contour,"[ 3078419.910000, 1416000.000000, 3078816.470000, 1416288.060000 ]"
3086109.24192837,1416575.96,ContourElevations.211,211,g40lc,211,834,contour,"[ 3084996.910700, 1416000.000000, 3086149.550000, 1417167.750000 ]"
3083790.76171759,1416298.06499984,ContourElevations.212,212,g40lc,212,834,contour,"[ 3083532.480000, 1416000.000000, 3084130.900000, 1416592.390900 ]"
3082689.11673602,1416424.36500009,ContourElevations.213,213,g40lc,213,834,contour,"[ 3082679.890000, 1416000.000000, 3083558.400000, 1416849.330000 ]"
3078402.34,1416165.56500003,ContourElevations.214,214,g40lc,214,832,contour,"[ 3078387.920000, 1416000.000000, 3078776.211800, 1416326.510000 ]"
3086279.21111833,1416275.04500002,ContourElevations.215,215,g40lc,215,816,contour,"[ 3086122.920000, 1416000.000000, 3086383.060000, 1416570.340000 ]"
3082953.34,1416218.37,ContourElevations.216,216,g40lc,216,832,contour,"[ 3082568.280000, 1416000.000000, 3082955.070000, 1416435.510000 ]"
3086516.28149043,1417129.4899998,ContourElevations.217,217,g40lc,217,830,index,"[ 3085414.630000, 1416000.000000, 3086709.920000, 1418257.700000 ]"
3078356.79499997,1416180.08500016,ContourElevations.218,218,g40lc,218,830,index,"[ 3078356.610000, 1416000.000000, 3078683.153300, 1416361.830000 ]"
3083583.47756978,1416219.6499999,ContourElevations.219,219,g40lc,219,830,index,"[ 3083383.860000, 1416000.000000, 3083681.690000, 1416437.240000 ]"
3078754.83960834,1416349.32000019,ContourElevations.220,220,g40lc,220,828,contour,"[ 3078310.510000, 1416000.000000, 3079070.760000, 1416702.300000 ]"
3086242.46323592,1416831.42499999,ContourElevations.221,221,g40lc,221,826,contour,"[ 3085640.660000, 1416000.000000, 3086548.530000, 1417664.560000 ]"
3082874.36448073,1416186.38999988,ContourElevations.222,222,g40lc,222,828,contour,"[ 3082671.360000, 1416000.000000, 3082924.770000, 1416370.280000 ]"
